index;name;construction_period_start;construction_period_end;building_categories_index;building_life_time_index;number_of_dwellings_per_building;number_of_persons_per_dwelling;length_of_building;width_of_building;number_of_floors;room_height;building_geometry_special_index;percentage_of_building_surface_attached_length;percentage_of_building_surface_attached_width;share_of_window_area_on_gross_surface_area;share_of_windows_oriented_to_south;share_of_windows_oriented_to_north;gebaudebauweise_fbw;horizontal_shading_building;renovation_facade_year_start;renovation_facade_year_end;f_x3_facade;f_x2_facade;f_x1_facade;f_x0_facade;renovation_windows_year_start;renovation_windows_year_end;f_x3_windows;f_x2_windows;f_x1_windows;f_x0_windows;envelope_quality_def_index;mech_ventilation_system_index;user_profiles_index;climate_region_index;agent_mixes_index;bc_specific_userfactor;INPUT_DATA_STOP;grossfloor_area;heated_area;total_vertical_surface_area;aewd;areafloor;areawindows;areadoors;area_suitable_solar;grossvolume;heatedvolume;heated_norm_volume;characteristic_length;A_V_ratio;LEK;hwb;hwb_norm;hlpb;orig_hlpb;hlpb_dhw;t_indoor_eff_factor;effective_indoor_temp_jan;prev_index;last_action;last_action_year;mean_construction_period;uedh_sh_norm;uedh_sh_effective;uedh_sh_original;ued_dhw;climate_change_factor1;uedh_sh_climate1;climate_change_factor1a;uedh_sh_climate1a;climate_change_factor1b;uedh_sh_climate1b;climate_change_factor2;uedh_sh_climate2;ued_cool;ued_cool_climate1;ued_cool_climate1a;ued_cool_climate1b;ued_cool_climate2;ued_cool_no_int_gains;uedh_sh_savings_mech_vent;effective_heating_hours;effective_operation_hours_solar;boiler_operation_hours_dhw;distribution_operation_hours_dhw;rand_number_1;rand_number_2;rand_number_3;u_value_ceiling;u_value_exterior_walls;u_value_windows1;u_value_windows2;u_value_roof;u_value_zangendecke;u_value_floor;seam_loss_windows;n_50;envelope_quality_add_data_idx;add_building_life_time;facade_life_time_factor;windows_life_time_factor;envelope_lifetime_index;trans_loss_walls;trans_loss_ceil;trans_loss_wind;trans_loss_doors;trans_loss_floor;trans_loss_therm_bridge;trans_loss_ventilation;total_heat_losses;uedh_sh_effective_gains;uedh_sh_effective_gains_solar;uedh_sh_effective_gains_lighting;uedh_sh_effective_gains_internal_other;uedh_sh_effective_gains_internal_people;uedh_sh_norm_gains_solar_transparent;ued_cool_gains_solar_transparent;ued_cool_gains_solar_opaque;ued_cool_gains_lighting;ued_cool_gains_internal_other;ued_cool_gains_internal_people;internal_cool_gains_lighting;internal_gains_lighting;internal_cool_gains_other_appliances;internal_gains_other_appliances;internal_cool_gains_people;internal_gains_people;uedh_sh_effective_losses_before_gains;estimated_electricity_internal_gains;estimated_electricity_not_internal_gains;uedh_sh_effective_jan;uedh_sh_effective_feb;uedh_sh_effective_mar;uedh_sh_effective_apr;uedh_sh_effective_may;uedh_sh_effective_jun;uedh_sh_effective_jul;uedh_sh_effective_aug;uedh_sh_effective_sep;uedh_sh_effective_oct;uedh_sh_effective_nov;uedh_sh_effective_dec;uedh_sh_effective_gains_solar_jan;uedh_sh_effective_gains_solar_feb;uedh_sh_effective_gains_solar_mar;uedh_sh_effective_gains_solar_apr;uedh_sh_effective_gains_solar_may;uedh_sh_effective_gains_solar_jun;uedh_sh_effective_gains_solar_jul;uedh_sh_effective_gains_solar_aug;uedh_sh_effective_gains_solar_sep;uedh_sh_effective_gains_solar_oct;uedh_sh_effective_gains_solar_nov;uedh_sh_effective_gains_solar_dec;annual_mech_vent_volume_heat_recovery_mode;annual_mech_vent_volume_non_heat_recovery_mode;ued_cooling_jan;ued_cooling_feb;ued_cooling_mar;ued_cooling_apr;ued_cooling_may;ued_cooling_jun;ued_cooling_jul;ued_cooling_aug;ued_cooling_sep;ued_cooling_oct;ued_cooling_nov;ued_cooling_dec;renovation_inv_costs;of_which_maintenance_inv_costs_part;target_hwb;target_hwb_asterix;hwb_lc_factor;target_hwb_u_value_adoption_factor;hwb_original_u_values_using_days;hwb_using_days;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;immissionFlaeche_sommer_nachweis_B8110_3;immissionsflaechenbezogenerLuftwechsel_sommer_nachweis_B8110_3;erforderliche_speicherwirksameMasse_sommer_nachweis_B8110_3;immissionsflaechenbezogene_speicherwirksameMasse_sommer_nachweis_B8110_3;heatstoragemass_ratio_sommer_nachweis_B8110_3;start_refurb_obligation_year;is_unrefurbished;deep_refurb_level;delta_hwb_refurb;average_hwb_unrefurbished_simulation_start;average_hwb_unrefurbished_current_period;hwb_ref_climate_zone;is_unrefurbished_age_not_considered;cum_inv_env_exist_build;cum_sub_env_exist_build
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;SFH_A_DENKMALSCHUTZ_1890-1918_ren_1925-1960_clr_11;1890;1918;2;4;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;1925;1960;1.26E-05;-0.000877903;0.016427414;-0.03479914;1925;1960;1.26E-05;-0.000877903;0.016427414;-0.03479914;1;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;123.5786972;156.8368378;201.2524261;12.06826401;12.06826401;4.566326141;0.828370512;16.29159737;1;no action;0;0;25944.01953;20218.2793;25944.01953;1729.204346;0.879304588;23499.83594;0.958808482;25093.76172;0.918616891;24280.38477;1.034867525;26677.59375;2003.344971;2609.696289;2226.565918;2466.054688;1831.069824;1624.917114;0;1675.326172;3065.999756;757.3722534;8760;0.737645566;0.274867266;0.423528016;0.676042497;1.014063716;1.690106392;0;50;0;0.845053196;4.099999905;3;1;0;1;1;1;159.1077118;43.57527542;58.49604797;0;38.12836838;29.93073845;36.46686172;365.7049561;9680.006836;6547.101074;142.5092316;2672.04834;0;15326.83105;1487.670288;140.9795532;44.08178329;330.6133728;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;29898.28711;3704.026367;0;4191.936035;3243.279053;2501.094238;1197.118774;252.3009033;27.20153809;0.208587646;1.624389648;331.1080933;1494.346924;2936.204834;4041.856201;252.7724304;385.6070862;573.2036743;700.2254639;796.7702637;795.9957275;811.503479;738.8496094;590.524292;450.6858215;251.0529938;199.9099731;0;0;0.213700995;1.110029697;5.880762577;33.81245041;169.2683105;395.458374;767.5819092;540.8115234;79.93094635;8.586441994;0.544489324;0.14605096;0;0;201.2411804;0;0;0.999092281;316.3374939;201.467926;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;1;128.3578644;0;184.4966125;184.4966125;201.467926;1;0;0
2;SFH_A_DENKMALSCHUTZ_gen2_1890-1918_ren_1961-1994_clr_11;1890;1918;2;4;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;1961;1994;-2.24E-07;6.25E-05;0.000351941;0.002632278;1961;1994;-2.24E-07;6.25E-05;0.000351941;0.002632278;2;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;123.627243;156.8274078;201.2513733;12.0725317;12.0725317;4.566326141;0.828371346;16.29161644;2;no action;0;0;25943.88281;20217.06445;25943.88281;1729.204346;0.879304588;23513.32031;0.958808482;25098.45508;0.918616891;24289.60547;1.034867525;26673.20898;2041.685547;2648.976563;2265.951416;2506.091064;1868.284546;1664.327881;0;1674.633545;3065.999756;757.3722534;8760;0.114123076;0.542408645;0.421631038;0.709591448;1.064387202;1.348223686;0;50;0;0.886989355;4.099999905;1.600000024;1;0;1;1;1;167.0035095;45.73772049;46.66318893;0;40.020504;29.94249344;36.46686172;365.8342896;9691.825195;6544.130859;142.4658508;2671.234619;0;15303.81836;1510.831177;150.2948303;44.77170563;335.7877808;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;29908.89063;3704.026367;0;4192.81543;3243.435547;2500.495117;1195.971191;251.6591797;27.10302734;0.207763672;1.618560791;330.4852905;1493.798584;2936.642822;4042.833008;252.6577454;385.4321594;572.9436035;699.9077759;796.4088135;795.6345825;811.1353149;738.5144043;590.2563477;450.4813843;250.9391022;199.8192749;0;0;0.217691869;1.131290913;5.988186836;34.54585266;173.0973053;403.7239685;780.2324219;551.2578735;81.99291992;8.79151535;0.557365477;0.149172649;0;0;201.2411804;0;0;0.999187052;299.3922119;201.4443207;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;0.597323477;128.3578644;0;184.4966125;184.4966125;201.4443207;1;0;0
3;SFH_A_DENKMALSCHUTZ_gen3_1890-1918_ren_1995-2004_clr_11;1890;1918;2;4;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;1995;2004;1.47E-05;-0.00044206;0.00125779;0.103960201;1995;2004;1.47E-05;-0.00044206;0.00125779;0.103960201;3;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;123.271637;156.8882141;201.2470398;12.04126644;12.04126644;4.566326141;0.828375041;16.29169464;3;no action;0;0;25943.32422;20224.90234;25943.32422;1729.204346;0.879304588;23542.81445;0.958808482;25108.54688;0.918616891;24309.69531;1.034867525;26663.31836;1900.340576;2478.252441;2112.266602;2340.42627;1737.248779;1514.349487;0;1679.632568;3065.999756;757.3722534;8760;0.653001249;0.154984742;0.298902005;0.468529761;1.171324253;1.171324253;0;50;0;0.976103604;4.099999905;1.600000024;1;0;1;1;1;183.7820587;30.19974709;40.54054642;0;44.04129791;29.85636711;36.46686172;364.8868713;9606.666016;6565.535645;142.7783051;2677.093262;0;15469.83496;1412.56897;131.8530884;41.87277985;314.0458679;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;29831.56641;3704.026367;0;4186.312988;3242.158936;2504.672363;1204.160034;256.2926025;27.81713867;0.213012695;1.659667969;334.960144;1497.651855;2933.364746;4035.638672;253.4841614;386.6928406;574.817627;702.1970215;799.0137329;798.2369995;813.7883911;740.9299316;592.1870117;451.954834;251.7598724;200.4728546;0;0;0.233789742;1.16603148;5.952322006;32.84605789;159.9899139;372.5811157;730.4892578;511.6748962;76.10364532;8.5632267;0.579453349;0.160907373;0;0;201.2411804;0;0;0.999495506;268.3954468;201.3668365;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;0;128.3578644;0;184.4966125;184.4966125;201.3668365;1;0;0
4;SFH_A_DENKMALSCHUTZ_gen4_1890-1918_ren_2005-2011_clr_11;1890;1918;2;4;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;2005;2011;2.29E-06;0.000324822;-0.005238004;0.15420422;2005;2011;2.29E-06;0.000324822;-0.005238004;0.15420422;4;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;102.8509293;132.5630493;161.7855072;10.24590969;10.24590969;4.566326141;0.864840627;17.07960892;4;no action;0;0;20856.22656;17089.07813;20856.22656;1729.204346;0.879304588;19007.1875;0.958808482;20213.76367;0.918616891;19598.31055;1.034867525;21409.44922;2295.521729;2875.543213;2519.583496;2754.969238;2119.165283;1963.433472;0;1667.8927;3065.999756;757.3722534;8760;0.596637487;0.391180336;0.1366539;0.548466682;0.73128891;1.371166587;0;50;0;1.142638803;4.099999905;1.600000024;1;0;1;1;1;114.7400284;35.35219574;47.45726395;0;51.55527878;24.91047668;36.46686172;310.4820862;9411.99707;6389.243652;140.2928009;2630.490234;0;12307.23633;1735.369995;123.8460617;51.33008575;384.975647;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;26501.07422;3704.026367;0;3641.717041;2783.324707;2092.906738;927.5093994;149.5535889;11.08563232;0.04510498;0.453186035;214.847168;1220.712158;2529.974121;3516.948242;246.6778259;376.3097229;559.3831177;683.3422852;777.5593262;776.8034058;791.9372559;721.0351563;576.2861328;439.8193359;244.9998474;195.0899353;0;0;0.121435486;0.777290761;5.024380684;34.79401398;196.7171021;465.1419678;872.2703247;624.5353394;88.10587311;7.610547066;0.344984919;0.078468382;0;0;161.7813416;0;0;0.999678373;180.1340637;161.848053;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;0;128.3578644;0;184.4966125;184.4966125;161.848053;1;0;0
5;SFH_A_1890-1918_ren_1925-1960_clr_11;1890;1918;2;3;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;1925;1960;1.26E-05;-0.000877903;0.016427414;-0.03479914;1925;1960;1.26E-05;-0.000877903;0.016427414;-0.03479914;5;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;123.4022064;156.8671112;201.2504883;12.05274582;12.05274582;4.566326141;0.828372061;16.2916317;5;no action;0;0;25943.76953;20222.18359;25943.76953;1729.204346;0.879304588;23507.87109;0.958808482;25096.45117;0.918616891;24285.82813;1.034867525;26674.7793;1926.342163;2518.851318;2143.542236;2377.312012;1759.182861;1543.708862;0;1677.807373;3065.999756;757.3722534;8760;0.128625795;0.131334603;0.637823761;0.55625838;1.042984247;1.738307357;0;50;0;0.869153678;4.099999905;3;1;0;1;1;1;163.6453705;35.85441971;60.16432571;0;39.21577072;29.88798904;36.46686172;365.2347412;9637.71582;6557.724609;142.6643219;2674.956299;0;15409.13184;1435.236572;129.5782166;42.53263092;318.994751;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;29859.90234;3704.026367;0;4188.710938;3242.649658;2503.17334;1201.186279;254.5970459;27.55462646;0.211090088;1.644592285;333.3274536;1496.262939;2934.580811;4038.287109;253.1825867;386.2327881;574.1337891;701.3616333;798.0631104;797.2872925;812.8202515;740.0484619;591.4824829;451.4171448;251.4603577;200.2343445;0;0;0.219189465;1.1175071;5.826420307;32.79653931;162.0500183;378.5614014;740.7389526;519.3388672;76.58092499;8.412985802;0.549405277;0.149952203;0;0;201.2411804;0;0;0.999219656;306.4434509;201.4358063;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;1;36.67367554;0;184.4966125;184.4966125;201.4358063;1;0;0
6;SFH_A_gen2_1890-1918_ren_1961-1994_clr_11;1890;1918;2;3;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;1961;1994;-2.24E-07;6.25E-05;0.000351941;0.002632278;1961;1994;-2.24E-07;6.25E-05;0.000351941;0.002632278;6;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;123.4433441;156.859024;201.2494354;12.05636501;12.05636501;4.566326141;0.828372955;16.29165077;6;no action;0;0;25943.63281;20221.14063;25943.63281;1729.204346;0.879304588;23522.20703;0.958808482;25101.44141;0.918616891;24295.63672;1.034867525;26670.13086;1960.002686;2553.013672;2178.031738;2412.26416;1791.915649;1577.838623;0;1677.216919;3065.999756;757.3722534;8760;0.046624854;0.116223231;0.926185846;0.584691405;1.09629643;1.388642073;0;50;0;0.913580298;4.099999905;1.600000024;1;0;1;1;1;172.0101013;37.6871109;48.06210709;0;41.22027588;29.89795876;36.46686172;365.3443909;9647.755859;6555.190918;142.6273499;2674.262695;0;15389.39551;1455.278564;138.1176453;43.13015747;323.4761963;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;29868.89648;3704.026367;0;4189.45752;3242.782959;2502.666016;1200.209717;254.0442047;27.46936035;0.210418701;1.639648438;332.7938232;1495.79834;2934.952393;4039.115967;253.0847626;386.0835571;573.9119263;701.0906372;797.7548218;796.979248;812.5061646;739.7625732;591.2539673;451.2427063;251.363205;200.1569824;0;0;0.223707765;1.139701247;5.930710793;33.45648956;165.3665466;385.7367554;751.9221191;528.5072632;78.39642334;8.606492996;0.562969148;0.153475985;0;0;201.2411804;0;0;0.999312818;289.5143738;201.4126129;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;0.597323477;36.67367554;0;184.4966125;184.4966125;201.4126129;1;0;0
7;SFH_A_gen3_1890-1918_ren_1995-2004_clr_11;1890;1918;2;3;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;1995;2004;1.47E-05;-0.00044206;0.00125779;0.103960201;1995;2004;1.47E-05;-0.00044206;0.00125779;0.103960201;7;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;123.271637;156.8882141;201.2470398;12.04126644;12.04126644;4.566326141;0.828375041;16.29169464;7;no action;0;0;25943.32422;20224.90234;25943.32422;1729.204346;0.879304588;23542.81445;0.958808482;25108.54688;0.918616891;24309.69531;1.034867525;26663.31836;1900.340576;2478.252441;2112.266602;2340.42627;1737.248779;1514.349487;0;1679.632568;3065.999756;757.3722534;8760;0.567000628;0.508981824;0.967271984;0.468529761;1.171324253;1.171324253;0;50;0;0.976103604;4.099999905;1.600000024;1;0;1;1;1;183.7820587;30.19974709;40.54054642;0;44.04129791;29.85636711;36.46686172;364.8868713;9606.666016;6565.535645;142.7783051;2677.093262;0;15469.83496;1412.56897;131.8530884;41.87277985;314.0458679;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;29831.56641;3704.026367;0;4186.312988;3242.158936;2504.672363;1204.160034;256.2926025;27.81713867;0.213012695;1.659667969;334.960144;1497.651855;2933.364746;4035.638672;253.4841614;386.6928406;574.817627;702.1970215;799.0137329;798.2369995;813.7883911;740.9299316;592.1870117;451.954834;251.7598724;200.4728546;0;0;0.233789742;1.16603148;5.952322006;32.84605789;159.9899139;372.5811157;730.4892578;511.6748962;76.10364532;8.5632267;0.579453349;0.160907373;0;0;201.2411804;0;0;0.999495506;268.3954468;201.3668365;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;0;36.67367554;0;184.4966125;184.4966125;201.3668365;1;0;0
8;SFH_A_gen4_1890-1918_ren_2005-2011_clr_11;1890;1918;2;3;1;2.687421799;9.92346096;6.495356083;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;60;0.850000024;2005;2011;2.29E-06;0.000324822;-0.005238004;0.15420422;2005;2011;2.29E-06;0.000324822;-0.005238004;0.15420422;8;1;1;1;1;0;0;128.9128265;103.1302643;203.593338;156.9010925;64.45641327;34.61086655;0;25.78256607;399.6297607;288.76474;268.1386719;1.247187257;0.801804185;87.00052643;113.1643372;132.0608215;8.852365494;8.852365494;4.566326141;0.897028267;17.77508736;8;no action;0;0;17024.33398;14588.33496;17024.33398;1729.204346;0.879304588;15495.4668;0.958808482;16492.93359;0.918616891;15984.05957;1.034867525;17482.00781;2675.385986;3287.262939;2916.614014;3166.493652;2482.98584;2409.487305;0;1647.95874;3065.999756;757.3722534;8760;0.572065175;0.240155816;0.227334753;0.4639422;0.61858958;1.159855485;0;50;0;0.966546178;4.099999905;1.600000024;1;0;1;1;1;97.05738068;29.90405083;40.14360428;0;43.61006927;21.07151222;36.46686172;268.253479;9160.5;6227.531738;137.9892426;2587.29834;0;10013.87988;2039.752441;123.0884857;60.29940033;452.2455139;0;451.7105103;180.6842041;3387.828857;3387.828857;0;0;23748.83594;3704.026367;0;3195.508545;2410.033936;1761.388062;711.3306885;82.86621094;4.098327637;0.008712769;0.113708496;132.4210205;998.7883301;2200.438965;3091.338623;240.4344025;366.7853088;545.2251587;666.046875;757.8792725;757.1425171;771.8933105;702.7857666;561.7003174;428.6875;238.7988892;190.1522064;0;0;0.077058978;0.603093266;4.701498508;38.84452438;240.6901703;558.8219604;991.1331177;728.3308105;104.4538269;7.437354565;0.245055243;0.047404584;0;0;132.0424652;0;0;0.998637974;180.1340637;132.28125;8.376549721;4.487437725;2.09413743;4.25;14.57688046;49.52444077;1000000;3066.001953;0.003066002;0;0;36.67367554;0;184.4966125;184.4966125;132.28125;1;0;0
9;SFH_B_DENKMALSCHUTZ_1919-1944_ren_1920-1960_clr_11;1919;1944;2;4;1;2.687421799;10.17961788;6.663022995;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;50;0.850000024;1920;1960;1.19E-06;-0.000249631;0.008098057;-0.022341497;1920;1960;1.19E-06;-0.000249631;0.008098057;-0.022341497;9;1;1;1;1;0;0;135.6540527;108.5232468;208.8487244;160.9512329;67.82702637;35.50428391;0;27.13081169;420.5275574;303.8650818;282.1604309;1.266231418;0.789745033;144.5688934;179.5813904;243.7242889;14.64128208;14.64128208;4.732194424;0.787579477;15.41022491;9;no action;0;0;33062.1875;24360.94336;33062.1875;1819.629639;0.879304588;29967.63477;0.958808482;31983.99414;0.918616891;30954.65234;1.034867525;33994.8125;2049.621826;2623.772461;2255.615967;2478.160889;1891.317261;1565.261597;0;1663.853027;3065.999756;769.0426636;8760;0.842818379;0.807489932;0.526402414;0.778222144;1.245155334;1.94555521;0;50;0;0.972777605;4;1.600000024;1;0;1;1;1;200.4092865;52.78449249;69.07554626;0;46.18642807;36.84557724;38.37382126;443.6751709;10125.65234;6765.628418;150.4550476;2821.032227;0;19376.17188;1488.74646;172.5524445;45.68503952;342.6378174;0;475.3317566;190.1327209;3564.988525;3564.988525;0;0;34486.59766;3897.720703;0;4911.270508;3839.07373;3024.124512;1547.466064;421.7994385;71.23259735;1.380004883;7.294036865;503.8707886;1842.592041;3462.206055;4728.634277;261.2094116;398.4778442;592.3358765;723.5974731;823.364624;822.564209;838.5895996;763.5107422;610.2346191;465.7286987;259.4325562;206.5825195;0;0;0.90643698;3.361787796;12.93731403;52.53219604;195.2035675;399.8167419;733.2319336;528.454834;103.4192429;17.1942749;1.895173788;0.668280482;0;0;243.7202301;0;0;0.999638438;324.322113;243.8259735;8.592774391;4.603272438;2.148193598;4.25;14.95315456;50.80284119;7871.54541;2620.95459;0.332965702;0;1;126.9942627;0;184.4966125;184.4966125;243.8259735;1;0;0
10;SFH_B_DENKMALSCHUTZ_gen2_1919-1944_ren_1961-1994_clr_11;1919;1944;2;4;1;2.687421799;10.17961788;6.663022995;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;50;0.850000024;1961;1994;-3.44E-06;0.000188886;-0.00061306;0.001787672;1961;1994;-3.44E-06;0.000188886;-0.00061306;0.001787672;10;1;1;1;1;0;0;135.6540527;108.5232468;208.8487244;160.9512329;67.82702637;35.50428391;0;27.13081169;420.5275574;303.8650818;282.1604309;1.266231418;0.789745033;144.6240387;179.5683136;243.7236786;14.64638233;14.64638233;4.732194424;0.787579894;15.41023445;10;no action;0;0;33062.10547;24359.16992;33062.10547;1819.629639;0.879304588;29984;0.958808482;31989.75391;0.918616891;30965.87891;1.034867525;33989.54297;2086.102051;2661.976807;2293.311523;2516.792725;1926.619629;1600.845581;0;1663.15271;3065.999756;769.0426636;8760;0.014013822;0.125378028;0.784196377;0.815197647;1.304316163;1.548875451;0;50;0;1.018996954;4;1.600000024;1;0;1;1;1;209.9312897;55.29243088;54.99171448;0;48.38087082;36.85963058;38.37382126;443.8297424;10139.45898;6762.20459;150.4033508;2820.062988;0;19343.70898;1509.174927;183.2469482;46.31530762;347.3648376;0;475.3317566;190.1327209;3564.988525;3564.988525;0;0;34498.63281;3897.720703;0;4912.251465;3839.233154;3023.442871;1546.179932;420.9200439;71.00964355;1.37512207;7.269683838;503.0921021;1841.980469;3462.688477;4729.728516;261.07724;398.2761841;592.0360718;723.2312622;822.947998;822.1479492;838.1652222;763.1243896;609.9257813;465.4930115;259.3012695;206.4779816;0;0;0.925414205;3.428189993;13.16181469;53.52677536;198.9768829;407.2748413;744.9216919;537.9592285;105.7286987;17.57291603;1.941463113;0.684102952;0;0;243.7202301;0;0;0.9996984;307.7613831;243.8084564;8.592774391;4.603272438;2.148193598;4.25;14.95315456;50.80284119;7871.54541;2620.95459;0.332965702;0;0.597323477;126.9942627;0;184.4966125;184.4966125;243.8084259;1;0;0
11;SFH_B_DENKMALSCHUTZ_gen3_1919-1944_ren_1995-2004_clr_11;1919;1944;2;4;1;2.687421799;10.17961788;6.663022995;2;2.799999952;1;0;0.150000006;0.170000002;0.300000012;0.140000001;50;0.850000024;1995;2004;4.40E-06;-0.00017522;0.000846797;0.100291714;1995;2004;4.40E-06;-0.00017522;0.000846797;0.100291714;11;1;1;1;1;0;0;135.6540527;108.5232468;208.8487244;160.9512329;67.82702637;35.50428391;0;27.13081169;420.5275574;303.8650818;282.1604309;1.266231418;0.789745033;144.204361;179.6631622;243.7216644;14.60755634;14.60755634;4.732194424;0.787581384;15.41026688;11;no action;0;0;33061.83203;24372.03711;33061.83203;1819.629639;0.879304588;30020.45703;0.958808482;32002.45313;0.918616891;30990.79492;1.034867525;33977.90234;1964.621826;2512.0354;2160.273682;2372.041504;1814.470581;1478.079712;0;1668.454224;3065.999756;769.0426636;8760;0.46713987;0.651666701;0.175062776;0.536766171;1.431376457;1.341915369;0;50;0;1.118262887;4;1.600000024;1;0;1;1;1;230.3818054;36.40725327;47.64374542;0;53.09391022;36.75267029;38.37382126;442.6531982;10035.20703;6788.127441;150.7945251;2827.397461;0;19590.4043;1428.605957;163.0798187;43.87483597;329.0613098;0;475.3317566;190.1327209;3564.988525;3564.988525;0;0;34407.24609;3897.720703;0;4904.743652;3837.931396;3028.49707;1555.845825;427.5908203;72.71228027;1.411590576;7.454833984;508.9829712;1846.536865;3458.962646;4721.367676;262.078064;399.8029785;594.3056641;726.0037842;826.1027222;825.2996826;841.3782959;766.0498047;612.2639771;467.2774658;260.2952881;207.269516;0;0;0.966815948;3.484962463;13.06871033;51.51750565;187.3612061;381.5626526;702.1720581;504.7801514;99.83930969;17.17163658;1.980896831;0.715984881;0;0;243.7202301;0;0;0.999864161;276.9466553;243.7598572;8.592774391;4.603272438;2.148193598;4.25;14.95315456;50.80284119;7871.54541;2620.95459;0.332965702;0;0;126.9942627;0;184.4966125;184.4966125;243.7598572;1;0;0
